text,label
"The Effects of Reward Misspecification: Mapping and Mitigating Misaligned Models Reward hacking -- where RL agents exploit gaps in misspecified rewardfunctions -- has been widely observed, but not yet systematically studied. Tounderstand how reward hacking arises, we construct four RL environments withmisspecified rewards. We investigate reward hacking as a function of agentcapabilities: model capacity, action space resolution, observation space noise,and training time. More capable agents often exploit reward misspecifications,achieving higher proxy reward and lower true reward than less capable agents.Moreover, we find instances of phase transitions: capability thresholds atwhich the agent's behavior qualitatively shifts, leading to a sharp decrease inthe true reward. Such phase transitions pose challenges to monitoring thesafety of ML systems. To address this, we propose an anomaly detection task foraberrant policies and offer several baseline detectors.",0
"AI safety via debate To make AI systems broadly useful for challenging real-world tasks, we needthem to learn complex human goals and preferences. One approach to specifyingcomplex goals asks humans to judge during training which agent behaviors aresafe and useful, but this approach can fail if the task is too complicated fora human to directly judge. To help address this concern, we propose trainingagents via self play on a zero sum debate game. Given a question or proposedaction, two agents take turns making short statements up to a limit, then ahuman judges which of the agents gave the most true, useful information. In ananalogy to complexity theory, debate with optimal play can answer any questionin PSPACE given polynomial time judges (direct judging answers only NPquestions). In practice, whether debate works involves empirical questionsabout humans and the tasks we want AIs to perform, plus theoretical questionsabout the meaning of AI alignment. We report results on an initial MNISTexperiment where agents compete to convince a sparse classifier, boosting theclassifier's accuracy from 59.4% to 88.9% given 6 pixels and from 48.2% to85.2% given 4 pixels. Finally, we discuss theoretical and practical aspects ofthe debate model, focusing on potential weaknesses as the model scales up, andwe propose future human and computer experiments to test these properties.",0
"Conservative Agency via Attainable Utility Preservation Reward functions are easy to misspecify; although designers can makecorrections after observing mistakes, an agent pursuing a misspecified rewardfunction can irreversibly change the state of its environment. If that changeprecludes optimization of the correctly specified reward function, thencorrection is futile. For example, a robotic factory assistant could breakexpensive equipment due to a reward misspecification; even if the designersimmediately correct the reward function, the damage is done. To mitigate thisrisk, we introduce an approach that balances optimization of the primary rewardfunction with preservation of the ability to optimize auxiliary rewardfunctions. Surprisingly, even when the auxiliary reward functions are randomlygenerated and therefore uninformative about the correctly specified rewardfunction, this approach induces conservative, effective behavior.",0
"Reward Tampering Problems and Solutions in Reinforcement Learning: A Causal Influence Diagram Perspective Can humans get arbitrarily capable reinforcement learning (RL) agents to dotheir bidding? Or will sufficiently capable RL agents always find ways tobypass their intended objectives by shortcutting their reward signal? Thisquestion impacts how far RL can be scaled, and whether alternative paradigmsmust be developed in order to build safe artificial general intelligence. Inthis paper, we study when an RL agent has an instrumental goal to tamper withits reward process, and describe design principles that prevent instrumentalgoals for two different types of reward tampering (reward function tamperingand RF-input tampering). Combined, the design principles can prevent both typesof reward tampering from being instrumental goals. The analysis benefits fromcausal influence diagrams to provide intuitive yet precise formalizations.",0
"One for All: Simultaneous Metric and Preference Learning over Multiple Users This paper investigates simultaneous preference and metric learning from acrowd of respondents. A set of items represented by $d$-dimensional featurevectors and paired comparisons of the form ``item $i$ is preferable to item$j$'' made by each user is given. Our model jointly learns a distance metricthat characterizes the crowd's general measure of item similarities along witha latent ideal point for each user reflecting their individual preferences.This model has the flexibility to capture individual preferences, whileenjoying a metric learning sample cost that is amortized over the crowd. Wefirst study this problem in a noiseless, continuous response setting (i.e.,responses equal to differences of item distances) to understand the fundamentallimits of learning. Next, we establish prediction error guarantees for noisy,binary measurements such as may be collected from human respondents, and showhow the sample complexity improves when the underlying metric is low-rank.Finally, we establish recovery guarantees under assumptions on the responsedistribution. We demonstrate the performance of our model on both simulateddata and on a dataset of color preference judgements across a large number ofusers.",0
"Training a Helpful and Harmless Assistant with Reinforcement Learning from Human Feedback We apply preference modeling and reinforcement learning from human feedback(RLHF) to finetune language models to act as helpful and harmless assistants.We find this alignment training improves performance on almost all NLPevaluations, and is fully compatible with training for specialized skills suchas python coding and summarization. We explore an iterated online mode oftraining, where preference models and RL policies are updated on a weeklycadence with fresh human feedback data, efficiently improving our datasets andmodels. Finally, we investigate the robustness of RLHF training, and identify aroughly linear relation between the RL reward and the square root of the KLdivergence between the policy and its initialization. Alongside our mainresults, we perform peripheral analyses on calibration, competing objectives,and the use of OOD detection, compare our models with human writers, andprovide samples from our models using prompts appearing in recent related work.",0
"Enhancing Safe Exploration Using Safety State Augmentation Safe exploration is a challenging and important problem in model-freereinforcement learning (RL). Often the safety cost is sparse and unknown, whichunavoidably leads to constraint violations -- a phenomenon ideally to beavoided in safety-critical applications. We tackle this problem by augmentingthe state-space with a safety state, which is nonnegative if and only if theconstraint is satisfied. The value of this state also serves as a distancetoward constraint violation, while its initial value indicates the availablesafety budget. This idea allows us to derive policies for scheduling the safetybudget during training. We call our approach Simmer (Safe policy IMproveMEntfor RL) to reflect the careful nature of these schedules. We apply this idea totwo safe RL problems: RL with constraints imposed on an average cost, and RLwith constraints imposed on a cost with probability one. Our experimentssuggest that simmering a safe algorithm can improve safety during training forboth settings. We further show that Simmer can stabilize training and improvethe performance of safe RL with average constraints.",0
"Is Power-Seeking AI an Existential Risk? This report examines what I see as the core argument for concern aboutexistential risk from misaligned artificial intelligence. I proceed in twostages. First, I lay out a backdrop picture that informs such concern. On thispicture, intelligent agency is an extremely powerful force, and creating agentsmuch more intelligent than us is playing with fire -- especially given that iftheir objectives are problematic, such agents would plausibly have instrumentalincentives to seek power over humans. Second, I formulate and evaluate a morespecific six-premise argument that creating agents of this kind will lead toexistential catastrophe by 2070. On this argument, by 2070: (1) it will becomepossible and financially feasible to build relevantly powerful and agentic AIsystems; (2) there will be strong incentives to do so; (3) it will be muchharder to build aligned (and relevantly powerful/agentic) AI systems than tobuild misaligned (and relevantly powerful/agentic) AI systems that are stillsuperficially attractive to deploy; (4) some such misaligned systems will seekpower over humans in high-impact ways; (5) this problem will scale to the fulldisempowerment of humanity; and (6) such disempowerment will constitute anexistential catastrophe. I assign rough subjective credences to the premises inthis argument, and I end up with an overall estimate of ~5% that an existentialcatastrophe of this kind will occur by 2070. (May 2022 update: since makingthis report public in April 2021, my estimate here has gone up, and is now at>10%.)",0
"Deep Imitative Models for Flexible Inference, Planning, and Control Imitation Learning (IL) is an appealing approach to learn desirableautonomous behavior. However, directing IL to achieve arbitrary goals isdifficult. In contrast, planning-based algorithms use dynamics models andreward functions to achieve goals. Yet, reward functions that evoke desirablebehavior are often difficult to specify. In this paper, we propose ImitativeModels to combine the benefits of IL and goal-directed planning. ImitativeModels are probabilistic predictive models of desirable behavior able to planinterpretable expert-like trajectories to achieve specified goals. We derivefamilies of flexible goal objectives, including constrained goal regions,unconstrained goal sets, and energy-based goals. We show that our method canuse these objectives to successfully direct behavior. Our method substantiallyoutperforms six IL approaches and a planning-based approach in a dynamicsimulated autonomous driving task, and is efficiently learned from expertdemonstrations without online data collection. We also show our approach isrobust to poorly specified goals, such as goals on the wrong side of the road.",0
"X-Risk Analysis for AI Research Artificial intelligence (AI) has the potential to greatly improve society,but as with any powerful technology, it comes with heightened risks andresponsibilities. Current AI research lacks a systematic discussion of how tomanage long-tail risks from AI systems, including speculative long-term risks.Keeping in mind the potential benefits of AI, there is some concern thatbuilding ever more intelligent and powerful AI systems could eventually resultin systems that are more powerful than us; some say this is like playing withfire and speculate that this could create existential risks (x-risks). To addprecision and ground these discussions, we provide a guide for how to analyzeAI x-risk, which consists of three parts: First, we review how systems can bemade safer today, drawing on time-tested concepts from hazard analysis andsystems safety that have been designed to steer large processes in saferdirections. Next, we discuss strategies for having long-term impacts on thesafety of future systems. Finally, we discuss a crucial concept in making AIsystems safer by improving the balance between safety and general capabilities.We hope this document and the presented concepts and tools serve as a usefulguide for understanding how to analyze AI x-risk.",0
