,text
0,Obfuscated Gradients Give a False Sense of Security Circumventing Defenses to Adversarial Examples We identify obfuscated gradients a kind of gradient masking as a phenomenonthat leads to a false sense of security in defenses against adversarialexamples. While defenses that cause obfuscated gradients appear to defeatiterative optimizationbased attacks we find defenses relying on this effectcan be circumvented. We describe characteristic behaviors of defensesexhibiting the effect and for each of the three types of obfuscated gradientswe discover we develop attack techniques to overcome it. In a case studyexamining noncertified whiteboxsecure defenses at ICLR  we findobfuscated gradients are a common occurrence with  of  defenses relying onobfuscated gradients. Our new attacks successfully circumvent  completely and partially in the original threat model each paper considers.
1,Universal Adversarial Triggers for Attacking and Analyzing NLP Adversarial examples highlight model vulnerabilities and are useful forevaluation and interpretation. We define universal adversarial triggersinputagnostic sequences of tokens that trigger a model to produce a specificprediction when concatenated to any input from a dataset. We propose agradientguided search over tokens which finds short trigger sequences e.g.one word for classification and four words for language modeling thatsuccessfully trigger the target prediction. For example triggers cause SNLIentailment accuracy to drop from . to .  of why questions inSQuAD to be answered to kill american people and the GPT language model tospew racist output even when conditioned on nonracial contexts. Furthermorealthough the triggers are optimized using whitebox access to a specific modelthey transfer to other models for all tasks we consider. Finally sincetriggers are inputagnostic they provide an analysis of global model behavior.For instance they confirm that SNLI models exploit dataset biases and help todiagnose heuristics learned by reading comprehension models.
2,Adversarial Examples for Evaluating Reading Comprehension Systems Standard accuracy metrics indicate that reading comprehension systems aremaking rapid progress but the extent to which these systems truly understandlanguage remains unclear. To reward systems with real language understandingabilities we propose an adversarial evaluation scheme for the StanfordQuestion Answering Dataset SQuAD. Our method tests whether systems can answerquestions about paragraphs that contain adversarially inserted sentences whichare automatically generated to distract computer systems without changing thecorrect answer or misleading humans. In this adversarial setting the accuracyof sixteen published models drops from an average of  F score to when the adversary is allowed to add ungrammatical sequences of words averageaccuracy on four models decreases further to . We hope our insights willmotivate the development of new models that understand language more precisely.
3,Data Augmentation Can Improve Robustness Adversarial training suffers from robust overfitting a phenomenon where therobust test accuracy starts to decrease during training. In this paper wefocus on reducing robust overfitting by using common data augmentation schemes.We demonstrate that contrary to previous findings when combined with modelweight averaging data augmentation can significantly boost robust accuracy.Furthermore we compare various augmentations techniques and observe thatspatial composition techniques work the best for adversarial training. Finallywe evaluate our approach on CIFAR against ellinfty and ellnormbounded perturbations of size epsilon   and epsilon  respectively. We show large absolute improvements of . and . inrobust accuracy compared to previous stateoftheart methods. In particularagainst ellinfty normbounded perturbations of size epsilon  our model reaches . robust accuracy without using any external data. Wealso achieve a significant performance boost with this approach while usingother architectures and datasets such as CIFAR SVHN and TinyImageNet.
4,Adversarial Examples for Evaluating Reading Comprehension Systems Standard accuracy metrics indicate that reading comprehension systems aremaking rapid progress but the extent to which these systems truly understandlanguage remains unclear. To reward systems with real language understandingabilities we propose an adversarial evaluation scheme for the StanfordQuestion Answering Dataset SQuAD. Our method tests whether systems can answerquestions about paragraphs that contain adversarially inserted sentences whichare automatically generated to distract computer systems without changing thecorrect answer or misleading humans. In this adversarial setting the accuracyof sixteen published models drops from an average of  F score to when the adversary is allowed to add ungrammatical sequences of words averageaccuracy on four models decreases further to . We hope our insights willmotivate the development of new models that understand language more precisely.
5,Towards Deep Learning Models Resistant to Adversarial Attacks Recent work has demonstrated that deep neural networks are vulnerable toadversarial examplesinputs that are almost indistinguishable from naturaldata and yet classified incorrectly by the network. In fact some of the latestfindings suggest that the existence of adversarial attacks may be an inherentweakness of deep learning models. To address this problem we study theadversarial robustness of neural networks through the lens of robustoptimization. This approach provides us with a broad and unifying view on muchof the prior work on this topic. Its principled nature also enables us toidentify methods for both training and attacking neural networks that arereliable and in a certain sense universal. In particular they specify aconcrete security guarantee that would protect against any adversary. Thesemethods let us train networks with significantly improved resistance to a widerange of adversarial attacks. They also suggest the notion of security againsta firstorder adversary as a natural and broad security guarantee. We believethat robustness against such welldefined classes of adversaries is animportant stepping stone towards fully resistant deep learning models. Code andpretrained models are available at
6,BERTATTACK Adversarial Attack Against BERT Using BERT Adversarial attacks for discrete data such as texts have been provedsignificantly more challenging than continuous data such as images since itis difficult to generate adversarial samples with gradientbased methods.Current successful attack methods for texts usually adopt heuristic replacementstrategies on the character or word level which remains challenging to findthe optimal solution in the massive space of possible combinations ofreplacements while preserving semantic consistency and language fluency. Inthis paper we propose textbfBERTAttack a highquality and effectivemethod to generate adversarial samples using pretrained masked language modelsexemplified by BERT. We turn BERT against its finetuned models and other deepneural models in downstream tasks so that we can successfully mislead thetarget models to predict incorrectly. Our method outperforms stateoftheartattack strategies in both success rate and perturb percentage while thegenerated adversarial samples are fluent and semantically preserved. Also thecost of calculation is low thus possible for largescale generations. The codeis available at
7,Gradientbased Adversarial Attacks against Text Transformers We propose the first generalpurpose gradientbased attack againsttransformer models. Instead of searching for a single adversarial example wesearch for a distribution of adversarial examples parameterized by acontinuousvalued matrix hence enabling gradientbased optimization. Weempirically demonstrate that our whitebox attack attains stateoftheartattack performance on a variety of natural language tasks. Furthermore we showthat a powerful blackbox transfer attack enabled by sampling from theadversarial distribution matches or exceeds existing methods while onlyrequiring hardlabel outputs.
8,Smooth Adversarial Training It is commonly believed that networks cannot be both accurate and robustthat gaining robustness means losing accuracy. It is also generally believedthat unless making networks larger network architectural elements wouldotherwise matter little in improving adversarial robustness. Here we presentevidence to challenge these common beliefs by a careful study about adversarialtraining. Our key observation is that the widelyused ReLU activation functionsignificantly weakens adversarial training due to its nonsmooth nature. Hencewe propose smooth adversarial training SAT in which we replace ReLU with itssmooth approximations to strengthen adversarial training. The purpose of smoothactivation functions in SAT is to allow it to find harder adversarial examplesand compute better gradient updates during adversarial training.
9,Reliable evaluation of adversarial robustness with an ensemble of diverse parameterfree attacks The field of defense strategies against adversarial attacks has significantlygrown over the last years but progress is hampered as the evaluation ofadversarial defenses is often insufficient and thus gives a wrong impression ofrobustness. Many promising defenses could be broken later on making itdifficult to identify the stateoftheart. Frequent pitfalls in the evaluationare improper tuning of hyperparameters of the attacks gradient obfuscation ormasking. In this paper we first propose two extensions of the PGDattackovercoming failures due to suboptimal step size and problems of the objectivefunction. We then combine our novel attacks with two complementary existingones to form a parameterfree computationally affordable and userindependentensemble of attacks to test adversarial robustness. We apply our ensemble toover  models from papers published at recent top machine learning andcomputer vision venues. In all except one of the cases we achieve lower robusttest accuracy than reported in these papers often by more than identifying several broken defenses.
10,Benchmarking Neural Network Robustness to Common Corruptions and Perturbations In this paper we establish rigorous benchmarks for image classifierrobustness. Our first benchmark ImageNetC standardizes and expands thecorruption robustness topic while showing which classifiers are preferable insafetycritical applications. Then we propose a new dataset called ImageNetPwhich enables researchers to benchmark a classifiers robustness to commonperturbations. Unlike recent robustness research this benchmark evaluatesperformance on common corruptions and perturbations not worstcase adversarialperturbations. We find that there are negligible changes in relative corruptionrobustness from AlexNet classifiers to ResNet classifiers. Afterward wediscover ways to enhance corruption and perturbation robustness. We even findthat a bypassed adversarial defense provides substantial common perturbationrobustness. Together our benchmarks may aid future work toward networks thatrobustly generalize.
11,The Many Faces of Robustness A Critical Analysis of OutofDistribution Generalization We introduce four new realworld distribution shift datasets consisting ofchanges in image style image blurriness geographic location cameraoperation and more. With our new datasets we take stock of previouslyproposed methods for improving outofdistribution robustness and put them tothe test. We find that using larger models and artificial data augmentationscan improve robustness on realworld distribution shifts contrary to claims inprior work. We find improvements in artificial robustness benchmarks cantransfer to realworld distribution shifts contrary to claims in prior work.Motivated by our observation that data augmentations can help with realworlddistribution shifts we also introduce a new data augmentation method whichadvances the stateoftheart and outperforms models pretrained with  timesmore labeled data. Overall we find that some methods consistently help withdistribution shifts in texture and local image statistics but these methods donot help with some other distribution shifts like geographic changes. Ourresults show that future research must study multiple distribution shiftssimultaneously as we demonstrate that no evaluated method consistentlyimproves robustness.
12,Reliable evaluation of adversarial robustness with an ensemble of diverse parameterfree attacks The field of defense strategies against adversarial attacks has significantlygrown over the last years but progress is hampered as the evaluation ofadversarial defenses is often insufficient and thus gives a wrong impression ofrobustness. Many promising defenses could be broken later on making itdifficult to identify the stateoftheart. Frequent pitfalls in the evaluationare improper tuning of hyperparameters of the attacks gradient obfuscation ormasking. In this paper we first propose two extensions of the PGDattackovercoming failures due to suboptimal step size and problems of the objectivefunction. We then combine our novel attacks with two complementary existingones to form a parameterfree computationally affordable and userindependentensemble of attacks to test adversarial robustness. We apply our ensemble toover  models from papers published at recent top machine learning andcomputer vision venues. In all except one of the cases we achieve lower robusttest accuracy than reported in these papers often by more than identifying several broken defenses.
13,Using PreTraining Can Improve Model Robustness and Uncertainty He et al.  have called into question the utility of pretraining byshowing that training from scratch can often yield similar performance topretraining. We show that although pretraining may not improve performance ontraditional classification metrics it improves model robustness anduncertainty estimates. Through extensive experiments on adversarial exampleslabel corruption class imbalance outofdistribution detection andconfidence calibration we demonstrate large gains from pretraining andcomplementary effects with taskspecific methods. We introduce adversarialpretraining and show approximately a  absolute improvement over theprevious stateoftheart in adversarial robustness. In some cases usingpretraining without taskspecific methods also surpasses the stateofthearthighlighting the need for pretraining when evaluating future methods onrobustness and uncertainty tasks.
14,Motivating the Rules of the Game for Adversarial Example Research Advances in machine learning have led to broad deployment of systems withimpressive performance on important problems. Nonetheless these systems can beinduced to make errors on data that are surprisingly similar to examples thelearned system handles correctly. The existence of these errors raises avariety of questions about outofsample generalization and whether bad actorsmight use such examples to abuse deployed systems. As a result of thesesecurity concerns there has been a flurry of recent papers proposingalgorithms to defend against such malicious perturbations of correctly handledexamples. It is unclear how such misclassifications represent a different kindof security problem than other errors or even other attackerproduced examplesthat have no specific relationship to an uncorrupted input. In this paper weargue that adversarial example defense papers have to date mostly consideredabstract toy games that do not relate to any specific security concern.Furthermore defense papers have not yet precisely described all the abilitiesand limitations of attackers that would be relevant in practical security.Towards this end we establish a taxonomy of motivations constraints andabilities for more plausible adversaries. Finally we provide a series ofrecommendations outlining a path forward for future work to more clearlyarticulate the threat model and perform more meaningful evaluation.
15,Towards Evaluating the Robustness of Neural Networks Neural networks provide stateoftheart results for most machine learningtasks. Unfortunately neural networks are vulnerable to adversarial examplesgiven an input x and any target classification t it is possible to find anew input x that is similar to x but classified as t. This makes itdifficult to apply neural networks in securitycritical areas. Defensivedistillation is a recently proposed approach that can take an arbitrary neuralnetwork and increase its robustness reducing the success rate of currentattacks ability to find adversarial examples from  to ..
16,Certified Defenses against Adversarial Examples While neural networks have achieved high accuracy on standard imageclassification benchmarks their accuracy drops to nearly zero in the presenceof small adversarial perturbations to test inputs. Defenses based onregularization and adversarial training have been proposed but often followedby new stronger attacks that defeat these defenses. Can we somehow end thisarms race In this work we study this problem for neural networks with onehidden layer. We first propose a method based on a semidefinite relaxation thatoutputs a certificate that for a given network and test input no attack canforce the error to exceed a certain value. Second as this certificate isdifferentiable we jointly optimize it with the network parameters providingan adaptive regularizer that encourages robustness against all attacks. OnMNIST our approach produces a network and a certificate that no attack thatperturbs each pixel by at most epsilon  . can cause more than  testerror.
17,PixMix Dreamlike Pictures Comprehensively Improve Safety Measures In realworld applications of machine learning reliable and safe systemsmust consider measures of performance beyond standard test set accuracy. Theseother goals include outofdistribution OOD robustness predictionconsistency resilience to adversaries calibrated uncertainty estimates andthe ability to detect anomalous inputs. However improving performance towardsthese goals is often a balancing act that todays methods cannot achievewithout sacrificing performance on other safety axes. For instance adversarialtraining improves adversarial robustness but sharply degrades other classifierperformance metrics. Similarly strong data augmentation and regularizationtechniques often improve OOD robustness but harm anomaly detection raising thequestion of whether a Pareto improvement on all existing safety measures ispossible. To meet this challenge we design a new data augmentation strategyutilizing the natural structural complexity of pictures such as fractals whichoutperforms numerous baselines is near Paretooptimal and roundly improvessafety measures.
18,Adversarial NLI A New Benchmark for Natural Language Understanding We introduce a new largescale NLI benchmark dataset collected via aniterative adversarial humanandmodelintheloop procedure. We show thattraining models on this new dataset leads to stateoftheart performance on avariety of popular NLI benchmarks while posing a more difficult challenge withits new test set. Our analysis sheds light on the shortcomings of currentstateoftheart models and shows that nonexpert annotators are successful atfinding their weaknesses. The data collection method can be applied in aneverending learning scenario becoming a moving target for NLU rather than astatic benchmark that will quickly saturate.
19,Augmenting Softmax Information for Selective Classification with OutofDistribution Data Detecting outofdistribution OOD data is a task that is receiving anincreasing amount of research attention in the domain of deep learning forcomputer vision. However the performance of detection methods is generallyevaluated on the task in isolation rather than also considering potentialdownstream tasks in tandem. In this work we examine selective classificationin the presence of OOD data SCOD. That is to say the motivation fordetecting OOD samples is to reject them so their impact on the quality ofpredictions is reduced. We show under this task specification that existingposthoc methods perform quite differently compared to when evaluated only onOOD detection. This is because it is no longer an issue to conflateindistribution ID data with OOD data if the ID data is going to bemisclassified. However the conflation within ID data of correct and incorrectpredictions becomes undesirable. We also propose a novel method for SCODSoftmax Information Retaining Combination SIRC that augments softmaxbasedconfidence scores with featureagnostic information such that their ability toidentify OOD samples is improved without sacrificing separation between correctand incorrect ID predictions. Experiments on a wide variety of ImageNetscaledatasets and convolutional neural network architectures show that SIRC is ableto consistently match or outperform the baseline for SCOD whilst existing OODdetection methods fail to do so.
20,Models Out of Line A Fourier Lens on Distribution Shift Robustness Improving the accuracy of deep neural networks DNNs on outofdistributionOOD data is critical to an acceptance of deep learning DL in real worldapplications. It has been observed that accuracies on indistribution IDversus OOD data follow a linear trend and models that outperform this baselineare exceptionally rare and referred to as effectively robust. Recentlysome promising approaches have been developed to improve OOD robustness modelpruning data augmentation and ensembling or zeroshot evaluating largepretrained models. However there still is no clear understanding of theconditions on OOD data and model properties that are required to observeeffective robustness. We approach this issue by conducting a comprehensiveempirical study of diverse approaches that are known to impact OOD robustnesson a broad range of natural and synthetic distribution shifts of CIFAR andImageNet. In particular we view the effective robustness puzzle through aFourier lens and ask how spectral properties of both models and OOD datainfluence the corresponding effective robustness. We find this Fourier lensoffers some insight into why certain robust models particularly those from theCLIP family achieve OOD robustness. However our analysis also makes clearthat no known metric is consistently the best explanation or even a strongexplanation of OOD robustness. Thus to aid future research into the OODpuzzle we address the gap in publiclyavailable models with effectiverobustness by introducing a set of pretrained modelsRobustNetswith varyinglevels of OOD robustness.
